,Region,Area,ExpectedBallots,VerifiedBallotPapers,Pct_Turnout,Votes_Cast,Valid_Votes,Remain,Leave,Rejected_Ballots,Pct_Remain,Pct_Leave,Pct_Rejected
0,East,Peterborough,87474,87469,72.35,87469,87392,34176,53216,77,39.11,60.89,0.09
1,East,Luton,84633,84636,66.31,84616,84481,36708,47773,135,43.45,56.55,0.16
2,East,Southend-on-Sea,93948,93939,72.9,93939,93870,39348,54522,69,41.92,58.08,0.07
3,East,Thurrock,79969,79954,72.75,79950,79916,22151,57765,34,27.72,72.28,0.04
4,East,Bedford,86136,86136,72.06,86135,86066,41497,44569,69,48.22,51.78,0.08
5,East,Central Bedfordshire,158904,158896,77.89,158894,158804,69670,89134,90,43.87,56.13,0.06
6,East,Cambridge,57871,57860,72.22,57852,57799,42682,15117,53,73.85,26.15,0.09
7,East,East Cambridgeshire,48129,48120,77.08,48124,48086,23599,24487,38,49.08,50.92,0.08
8,East,Fenland,52653,52649,73.69,52649,52626,15055,37571,23,28.61,71.39,0.04
9,East,Huntingdonshire,99996,99990,77.82,99990,99927,45729,54198,63,45.76,54.24,0.06
10,East,South Cambridgeshire,93268,93263,81.21,93250,93189,56128,37061,61,60.23,39.77,0.07
11,East,Basildon,98087,98071,73.86,98062,97999,30748,67251,63,31.38,68.62,0.06
12,East,Braintree,86316,86309,76.67,86303,86236,33523,52713,67,38.87,61.13,0.08
13,East,Brentwood,46726,46724,79.5,46725,46704,19077,27627,21,40.85,59.15,0.04
14,East,Castle Point,51909,51909,75.38,51909,51845,14154,37691,64,27.3,72.7,0.12
15,East,Chelmsford,100867,100866,77.6,100852,100794,47545,53249,58,47.17,52.83,0.06
16,East,Colchester,95805,95802,75.11,95782,95719,44414,51305,63,46.4,53.6,0.07
17,East,Epping Forest,76905,76900,76.89,76900,76852,28676,48176,48,37.31,62.69,0.06
18,East,Harlow,43493,43489,73.56,43489,43469,13867,29602,20,31.9,68.1,0.05
19,East,Maldon,38851,38850,79.17,38850,38831,14529,24302,19,37.42,62.58,0.05
20,East,Rochford,52487,52479,78.81,52479,52447,17510,34937,32,33.39,66.61,0.06
21,East,Tendring,82724,82725,74.4,82703,82657,25210,57447,46,30.5,69.5,0.06
22,East,Uttlesford,51973,51972,80.28,51972,51943,25619,26324,29,49.32,50.68,0.06
23,East,Broxbourne,50915,50907,73.78,50907,50872,17166,33706,35,33.74,66.26,0.07
24,East,Dacorum,86313,86308,79.21,86307,86244,42542,43702,63,49.33,50.67,0.07
25,East,Hertsmere,56161,56159,76.62,56159,56125,27593,28532,34,49.16,50.84,0.06
26,East,North Hertfordshire,77748,77741,78.27,77737,77672,42234,35438,65,54.37,45.63,0.08
27,East,Three Rivers,52900,52898,78.5,52896,52848,25751,27097,48,48.73,51.27,0.09
28,East,Watford,46635,46635,71.68,46635,46586,23167,23419,49,49.73,50.27,0.11
29,East,Breckland,73593,73593,74.34,73593,73548,26313,47235,45,35.78,64.22,0.06
30,East,Broadland,77785,77783,78.37,77781,77737,35469,42268,44,45.63,54.37,0.06
31,East,Great Yarmouth,50157,50156,69.06,50158,50128,14284,35844,30,28.5,71.5,0.06
32,East,King's Lynn and West Norfolk,85134,85128,74.75,85128,85080,28587,56493,48,33.6,66.4,0.06
33,East,North Norfolk,63841,63838,76.84,63829,63790,26214,37576,39,41.09,58.91,0.06
34,East,Norwich,66420,66423,69.12,66422,66366,37326,29040,56,56.24,43.76,0.08
35,East,South Norfolk,80418,80418,78.54,80418,80358,38817,41541,60,48.31,51.69,0.07
36,East,Babergh,55274,55274,78.26,55272,55242,25309,29933,30,45.81,54.19,0.05
37,East,Forest Heath,27976,27977,72.62,27977,27951,9791,18160,26,35.03,64.97,0.09
38,East,Ipswich,66405,66405,72.51,66400,66353,27698,38655,47,41.74,58.26,0.07
39,East,Mid Suffolk,61231,61231,78.16,61222,61185,27391,33794,37,44.77,55.23,0.06
40,East,St Edmundsbury,62258,62256,76.72,62255,62210,26986,35224,45,43.38,56.62,0.07
41,East,Suffolk Coastal,79234,79231,80.68,79226,79184,37218,41966,42,47.0,53.0,0.05
42,East,Waveney,65690,65687,72.67,65687,65646,24356,41290,41,37.1,62.9,0.06
43,East,St Albans,86519,86516,82.51,86524,86445,54208,32237,79,62.71,37.29,0.09
44,East,Welwyn Hatfield,58649,58641,75.04,58641,58610,27550,31060,31,47.01,52.99,0.05
45,East,East Hertfordshire,85446,85435,80.4,85433,85366,42372,42994,67,49.64,50.36,0.08
46,East,Stevenage,45811,45811,73.7,45811,45785,18659,27126,26,40.75,59.25,0.06
47,East Midlands,Derby,120807,120798,70.53,120772,120655,51612,69043,117,42.78,57.22,0.1
48,East Midlands,Leicester,139319,139309,65.15,139307,138972,70980,67992,335,51.08,48.92,0.24
49,East Midlands,Rutland,22989,22986,78.2,22984,22966,11353,11613,18,49.43,50.57,0.08
50,East Midlands,Nottingham,120792,120792,61.82,120791,120661,59318,61343,130,49.16,50.84,0.11
51,East Midlands,Amber Valley,73870,73868,76.34,73864,73820,29319,44501,44,39.72,60.28,0.06
52,East Midlands,Bolsover,41999,42000,72.33,41999,41972,12242,29730,27,29.17,70.83,0.06
53,East Midlands,Chesterfield,57472,57470,71.92,57470,57424,22946,34478,46,39.96,60.04,0.08
54,East Midlands,Derbyshire Dales,46756,46756,81.92,46756,46728,22633,24095,28,48.44,51.56,0.06
55,East Midlands,Erewash,66566,66566,75.99,66566,66530,25791,40739,36,38.77,61.23,0.05
56,East Midlands,High Peak,54864,54864,75.69,54864,54833,27116,27717,31,49.45,50.55,0.06
57,East Midlands,North East Derbyshire,59341,59341,75.25,59341,59310,22075,37235,31,37.22,62.78,0.05
58,East Midlands,South Derbyshire,56718,56718,76.8,56718,56695,22479,34216,23,39.65,60.35,0.04
59,East Midlands,Blaby,56517,56514,76.54,56512,56471,22888,33583,41,40.53,59.47,0.07
60,East Midlands,Charnwood,94265,94258,70.46,94257,94172,43500,50672,85,46.19,53.81,0.09
61,East Midlands,Harborough,54922,54918,81.44,54910,54878,27028,27850,32,49.25,50.75,0.06
62,East Midlands,Hinckley and Bosworth,65517,65516,76.8,65516,65470,25969,39501,46,39.67,60.33,0.07
63,East Midlands,Melton,30322,30322,81.36,30327,30305,12695,17610,22,41.89,58.11,0.07
64,East Midlands,North West Leicestershire,57655,57655,77.95,57638,57611,22642,34969,27,39.3,60.7,0.05
65,East Midlands,Oadby and Wigston,31488,31488,73.77,31489,31465,14292,17173,24,45.42,54.58,0.08
66,East Midlands,Boston,30417,30417,77.27,30416,30404,7430,22974,12,24.44,75.56,0.04
67,East Midlands,East Lindsey,80180,80179,74.93,80178,80128,23515,56613,50,29.35,70.65,0.06
68,East Midlands,Lincoln,43928,43928,69.34,43928,43894,18902,24992,34,43.06,56.94,0.08
69,East Midlands,North Kesteven,67791,67791,78.4,67791,67753,25570,42183,38,37.74,62.26,0.06
70,East Midlands,South Holland,49518,49518,75.37,49518,49497,13074,36423,21,26.41,73.59,0.04
71,East Midlands,South Kesteven,82527,82525,78.25,82523,82471,33047,49424,52,40.07,59.93,0.06
72,East Midlands,West Lindsey,54785,54781,74.53,54781,54753,20906,33847,28,38.18,61.82,0.05
73,East Midlands,Corby,32103,32100,74.1,32097,32081,11470,20611,16,35.75,64.25,0.05
74,East Midlands,Daventry,49421,49420,81.01,49420,49381,20443,28938,39,41.4,58.6,0.08
75,East Midlands,East Northamptonshire,52619,52614,76.99,52607,52574,21680,30894,33,41.24,58.76,0.06
76,East Midlands,Kettering,53946,53941,76.43,53940,53907,21030,32877,33,39.01,60.99,0.06
77,East Midlands,Northampton,105352,105350,72.68,105354,105259,43805,61454,95,41.62,58.38,0.09
78,East Midlands,South Northamptonshire,56666,56659,79.46,56664,56624,25853,30771,40,45.66,54.34,0.07
79,East Midlands,Wellingborough,41184,41177,75.46,41178,41141,15462,25679,37,37.58,62.42,0.09
80,East Midlands,Ashfield,66948,66947,72.83,66946,66899,20179,46720,47,30.16,69.84,0.07
81,East Midlands,Bassetlaw,64006,64005,74.82,64003,63967,20575,43392,36,32.17,67.83,0.06
82,East Midlands,Broxtowe,65468,65468,78.32,65468,65426,29672,35754,42,45.35,54.65,0.06
83,East Midlands,Gedling,67639,67635,76.6,67635,67577,30035,37542,58,44.45,55.55,0.09
84,East Midlands,Mansfield,56371,56369,72.62,56370,56344,16417,39927,26,29.14,70.86,0.05
85,East Midlands,Newark and Sherwood,67133,67128,76.86,67128,67087,26571,40516,41,39.61,60.39,0.06
86,East Midlands,Rushcliffe,70472,70470,81.56,70470,70410,40522,29888,60,57.55,42.45,0.09
87,London,City of London,4405,4405,73.58,4405,4399,3312,1087,6,75.29,24.71,0.14
88,London,Barking and Dagenham,73943,73941,63.85,73941,73880,27750,46130,61,37.56,62.44,0.08
89,London,Barnet,161209,161208,72.14,161218,161033,100210,60823,185,62.23,37.77,0.11
90,London,Bexley,128571,128570,75.28,128570,128489,47603,80886,81,37.05,62.95,0.06
91,London,Brent,121676,121678,65.14,121671,121404,72523,48881,267,59.74,40.26,0.22
92,London,Bromley,182570,182570,78.87,182570,182432,92398,90034,138,50.65,49.35,0.08
93,London,Camden,95288,95282,65.52,95281,95133,71295,23838,148,74.94,25.06,0.16
94,London,Croydon,171295,171292,69.81,171289,171134,92913,78221,155,54.29,45.71,0.09
95,London,Ealing,149267,149267,70.08,149268,149041,90024,59017,227,60.4,39.6,0.15
96,London,Enfield,137054,137056,69.09,137056,136906,76425,60481,150,55.82,44.18,0.11
97,London,Greenwich,117470,117472,69.52,117470,117365,65248,52117,105,55.59,44.41,0.09
98,London,Hackney,106422,106422,65.18,106422,106266,83398,22868,156,78.48,21.52,0.15
99,London,Hammersmith and Fulham,80351,80350,69.95,80347,80242,56188,24054,105,70.02,29.98,0.13
100,London,Haringey,106043,106034,70.64,106032,105846,79991,25855,186,75.57,24.43,0.18
101,London,Harrow,117363,117361,72.26,117352,117225,64042,53183,127,54.63,45.37,0.11
102,London,Havering,139179,139176,76.02,139175,139086,42201,96885,89,30.34,69.66,0.06
103,London,Hillingdon,133171,133171,68.99,133170,133022,58040,74982,148,43.63,56.37,0.11
104,London,Hounslow,115211,115209,69.8,115208,115076,58755,56321,132,51.06,48.94,0.11
105,London,Islington,101739,101726,70.39,101723,101600,76420,25180,123,75.22,24.78,0.12
106,London,Kensington and Chelsea,54803,54801,65.99,54801,54739,37601,17138,62,68.69,31.31,0.11
107,London,Kingston upon Thames,85334,85335,78.4,85330,85270,52533,32737,60,61.61,38.39,0.07
108,London,Lambeth,142162,142162,67.44,142162,141924,111584,30340,238,78.62,21.38,0.17
109,London,Lewisham,124634,124622,63.1,124637,124473,86955,37518,164,69.86,30.14,0.13
110,London,Merton,100215,100207,73.49,100207,100100,63003,37097,107,62.94,37.06,0.11
111,London,Newham,104869,104861,59.25,104864,104699,55328,49371,165,52.84,47.16,0.16
112,London,Redbridge,128439,128423,67.63,128397,128233,69213,59020,164,53.97,46.03,0.13
113,London,Richmond upon Thames,108892,108888,82.09,108876,108806,75396,33410,70,69.29,30.71,0.06
114,London,Southwark,129688,129680,66.2,129677,129502,94293,35209,175,72.81,27.19,0.13
115,London,Sutton,106633,106630,76.01,106633,106560,49319,57241,73,46.28,53.72,0.07
116,London,Tower Hamlets,108421,108403,64.6,108420,108235,73011,35224,185,67.46,32.54,0.17
117,London,Waltham Forest,108695,108689,66.69,108689,108551,64156,44395,138,59.1,40.9,0.13
118,London,Wandsworth,158018,158018,71.98,158018,157884,118463,39421,134,75.03,24.97,0.08
119,London,Westminster,78325,78325,64.99,78325,78196,53928,24268,129,68.97,31.03,0.16
120,North East,Hartlepool,46137,46134,65.59,46134,46100,14029,32071,34,30.43,69.57,0.07
121,North East,Middlesbrough,61395,61393,64.89,61393,61358,21181,40177,35,34.52,65.48,0.06
122,North East,Redcar and Cleveland,72741,72741,70.26,72741,72714,24586,48128,27,33.81,66.19,0.04
123,North East,Stockton-on-Tees,100462,100460,71.0,100460,100415,38433,61982,45,38.27,61.73,0.04
124,North East,Darlington,55194,55195,71.07,55195,55166,24172,30994,29,43.82,56.18,0.05
125,North East,County Durham,267577,267546,68.69,267546,267398,113521,153877,148,42.45,57.55,0.06
126,North East,Northumberland,178830,178815,74.35,178815,178721,82022,96699,94,45.89,54.11,0.05
127,North East,Newcastle upon Tyne,129072,129072,67.67,129072,129003,65405,63598,69,50.7,49.3,0.05
128,North East,North Tyneside,113527,113507,72.3,113507,113462,52873,60589,45,46.6,53.4,0.04
129,North East,South Tyneside,79126,79117,68.27,79117,79079,30014,49065,38,37.95,62.05,0.05
130,North East,Sunderland,134404,134400,64.86,134400,134324,51930,82394,76,38.66,61.34,0.06
131,North East,Gateshead,103009,103007,70.62,103007,102958,44429,58529,49,43.15,56.85,0.05
132,North West,Halton,65047,65047,68.26,65047,65005,27678,37327,42,42.58,57.42,0.06
133,North West,Warrington,115206,115206,73.36,115205,115144,52657,62487,61,45.73,54.27,0.05
134,North West,Blackburn with Darwen,65416,65408,65.33,65408,65321,28522,36799,87,43.66,56.34,0.13
135,North West,Blackpool,66959,66959,65.42,66959,66927,21781,45146,32,32.54,67.46,0.05
136,North West,Cheshire East,221229,221229,77.36,221229,221125,107962,113163,104,48.82,51.18,0.05
137,North West,Cheshire West and Chester,193640,193633,74.51,193633,193537,95455,98082,96,49.32,50.68,0.05
138,North West,Allerdale,54268,54268,72.92,54268,54238,22429,31809,30,41.35,58.65,0.06
139,North West,Barrow-in-Furness,36104,36101,67.87,36101,36074,14207,21867,27,39.38,60.62,0.07
140,North West,Carlisle,59723,59721,74.54,59721,59683,23788,35895,38,39.86,60.14,0.06
141,North West,Copeland,37974,37975,70.06,37975,37947,14419,23528,28,38.0,62.0,0.07
142,North West,Eden,31746,31746,75.82,31746,31718,14807,16911,28,46.68,53.32,0.09
143,North West,South Lakeland,65375,65375,79.78,65375,65331,34531,30800,44,52.86,47.14,0.07
144,North West,Burnley,43354,43350,67.25,43350,43316,14462,28854,34,33.39,66.61,0.08
145,North West,Chorley,63564,63562,75.52,63560,63515,27417,36098,45,43.17,56.83,0.07
146,North West,Fylde,46227,46227,75.57,46227,46206,19889,26317,21,43.04,56.96,0.05
147,North West,Hyndburn,40173,40168,64.74,40168,40137,13569,26568,31,33.81,66.19,0.08
148,North West,Lancaster,73102,73098,72.69,73098,73041,35732,37309,57,48.92,51.08,0.08
149,North West,Pendle,45389,45388,70.33,45388,45335,16704,28631,53,36.85,63.15,0.12
150,North West,Preston,64794,64794,68.72,64794,64745,30227,34518,49,46.69,53.31,0.08
151,North West,Ribble Valley,36473,36466,79.02,36466,36442,15892,20550,24,43.61,56.39,0.07
152,North West,Rossendale,38205,38204,72.43,38205,38181,15012,23169,24,39.32,60.68,0.06
153,North West,South Ribble,63756,63755,75.38,63755,63724,26406,37318,31,41.44,58.56,0.05
154,North West,West Lancashire,63921,63918,74.47,63918,63869,28546,35323,49,44.69,55.31,0.08
155,North West,Wyre,63031,63028,74.61,63028,62979,22816,40163,49,36.23,63.77,0.08
156,North West,Bolton,138206,138180,70.1,138180,138080,57589,80491,100,41.71,58.29,0.07
157,North West,Bury,101153,101144,71.43,101144,101028,46354,54674,116,45.88,54.12,0.11
158,North West,Manchester,202073,202067,59.77,202067,201814,121823,79991,253,60.36,39.64,0.13
159,North West,Oldham,107493,107493,68.0,107493,107403,42034,65369,90,39.14,60.86,0.08
160,North West,Rochdale,103319,103319,65.97,103319,103231,41217,62014,88,39.93,60.07,0.09
161,North West,Salford,109926,109926,63.3,109926,109815,47430,62385,111,43.19,56.81,0.1
162,North West,Stockport,163586,163584,73.97,163584,163489,85559,77930,95,52.33,47.67,0.06
163,North West,Tameside,111018,111016,66.06,111016,110947,43118,67829,69,38.86,61.14,0.06
164,North West,Trafford,125400,125400,75.86,125400,125311,72293,53018,89,57.69,42.31,0.07
165,North West,Wigan,163381,163381,69.23,163381,163273,58942,104331,108,36.1,63.9,0.07
166,North West,Knowsley,70939,70937,63.54,70937,70903,34345,36558,34,48.44,51.56,0.05
167,North West,Liverpool,203733,203728,64.08,203728,203554,118453,85101,174,58.19,41.81,0.09
168,North West,St. Helens,93730,93721,68.86,93721,93679,39322,54357,42,41.98,58.02,0.04
169,North West,Sefton,147970,147970,71.73,147970,147878,76702,71176,92,51.87,48.13,0.06
170,North West,Wirral,172137,172137,70.96,172137,172000,88931,83069,137,51.7,48.3,0.08
171,Northern Ireland,Northern Ireland,790647,790523,62.69,790523,790149,440707,349442,374,55.78,44.22,0.05
172,Scotland,Clackmannanshire,25439,25439,67.23,25439,25427,14691,10736,12,57.78,42.22,0.05
173,Scotland,Dumfries and Galloway,82718,82715,71.41,82715,82667,43864,38803,48,53.06,46.94,0.06
174,Scotland,East Ayrshire,57859,57859,62.91,57859,57833,33891,23942,26,58.6,41.4,0.04
175,Scotland,East Lothian,55822,55800,71.73,55800,55764,36026,19738,36,64.6,35.4,0.06
176,Scotland,East Renfrewshire,52970,52969,76.13,52969,52941,39345,13596,28,74.32,25.68,0.05
177,Scotland,Eilean Siar,14919,14919,70.18,14919,14903,8232,6671,16,55.24,44.76,0.11
178,Scotland,Falkirk,79304,79302,67.55,79302,79258,44987,34271,44,56.76,43.24,0.06
179,Scotland,Fife,182307,182307,66.78,182307,182220,106754,75466,87,58.59,41.41,0.05
180,Scotland,Highland,125728,125728,71.61,125728,125657,70308,55349,71,55.95,44.05,0.06
181,Scotland,Inverclyde,38722,38722,66.05,38722,38698,24688,14010,24,63.8,36.2,0.06
182,Scotland,Midlothian,45505,45497,68.15,45497,45468,28217,17251,29,62.06,37.94,0.06
183,Scotland,Moray,48148,48139,67.45,48139,48106,24114,23992,33,50.13,49.87,0.07
184,Scotland,North Ayrshire,67548,67548,64.59,67548,67504,38394,29110,44,56.88,43.12,0.07
185,Scotland,Orkney Islands,11402,11402,68.45,11402,11382,7189,4193,20,63.16,36.84,0.18
186,Scotland,Perth and Kinross,81294,81294,73.75,81294,81255,49641,31614,39,61.09,38.91,0.05
187,Scotland,Scottish Borders,64953,64953,73.44,64953,64914,37952,26962,39,58.47,41.53,0.06
188,Scotland,Shetland Islands,12231,12231,70.39,12231,12222,6907,5315,9,56.51,43.49,0.07
189,Scotland,South Ayrshire,61542,61542,69.84,61542,61506,36265,25241,36,58.96,41.04,0.06
190,Scotland,South Lanarkshire,162691,162683,65.35,162683,162592,102568,60024,91,63.08,36.92,0.06
191,Scotland,Stirling,48931,48931,74.03,48931,48899,33112,15787,32,67.72,32.28,0.07
192,Scotland,Aberdeen City,104809,104809,67.94,104809,104714,63985,40729,95,61.1,38.9,0.09
